subject_code,subject_name
ศ30207,นาฏศิลป์เพิ่มเติม
ศ21101,ทัศนศิลป์
ศ32104,นาฏศิลป์
ศ23103,ดนตรีไทย
ศ30103,ดนตรีไทย
ศ21103,ดนตรีไทย
ศ22103,ดนตรีไทย
ศ20204,นาฏศิลป์เพิ่มเติม
ศ22204,นาฏศิลป์
ศ22104,นาฏศิลป์
พ31202,กระบี่-กระบอง
พ32202,ศิลปะป้องกันตัว
ชุมนุม,วิทย์
ว33101,วิทยาศาสตร์
ว30242,ชีววิทยา
ว23102,วิทยาศาสตร์พื้นฐาน
ว21102,วิทยาศาสตร์พื้นฐาน
ว30244,ชีววิทยา
ว30208,โลกดาราศาสตร์
SC21102,Basic Science
ว30248,ชีววิทยา
ว30290,โครงงานวิทยาศาสตร์1
ว22102,วิทยาศาสรต์พื้นฐาน
ว30204,ฟิสิกส์
ว30206,ฟิสิกส์
ว30141,ชีววิทยา
ว30229,เคมี
ว30222,เคมี
ว30224,เคมี
ว23214,พลังงานทดแทน
ว21214,ธรรมชาติ
ว30247,ชีววิทยา
ว30202,ฟิสิกส์
ว22213,โครงงานวิทย์2 MEP
I20202,การศึกษาค้นคว้าฯ
ศ23104,นาฏศิลป์
ศ30208,ขับร้องเพลงสากล
ศ30202,ศิลปะเพิ่มเติม
ง22101,การงานอาชีพฯ
ง20213,กราฟฟิคและเทคโนโลยี
ง30219,การแกะสลักผักผลไม้
ง20215,IPST MicroBox
ง20216,การออกแบบเทคโนโลยี
ง30298,โครงงานคอมพิวเตอร์1
ง20211,โครงงานคอมพิวเตอร์
ง30207,การเขียนโปรแกรม
ง30218,โปนแกนมสำนักงาน
ง30209,เขียนรายงานค้นคว้า
ง30221,งานเขียนแบบวิศวกรรม
I30201,IS1
ง20214,การโปรแกรมเบื้องต้น
OT20214,computer program
ค23102,คณิตศาสตร์พื้นฐาน
ค23202,คณิตเพิ่มเติม
ค22204,คณิตเพิ่มเติม
ค22102,คณิตพื้นฐาน
ท. เสริม,ภาษาไทยเสริม
ค33204,คณิตศาสตร์เพิ่มเติม
ส23103,สังคมศึกษา
ส33203,เหตุการณ์ปัจจุบัน
ส33103,สังคมศึกษา
ส33104,ประวัติศาสตร์
ส23104,ประวัติศาสตร์
ส21103,สังคมศึกษา
อ33204,ภาษาอังกฤษอ่าน-เขียน
ฝ32202,ภาษาฝรั่งเศส
อ23102,ภาษาอังกฤษพื้นฐาน
อ32102,ภาษาอังกฤษพื้นฐาน
อ23202,อังกฤษอ่านเขียน
อ23204,อังกฤษเพื่ออาชีพ
อ33206,อังกฤษเทคโนโลยี
อ21208,Young Guide
จ23204,ภาษาจีน
จ31205,ภาษาจีน
ฝ33202,ภาษาฝั่รงเศส
จ32202,ภาษาจีน
จ33202,ภาษาจีน
อ33102,อังกฤษพื้นฐาน
อ32208,อังกฤษฟังพูด
อ33208,อังกฤษฟังพูด
อ32205,อังกฤษรอบรู้
อ22102,อังกฤษพื้นฐาน
จ22206,ภาษาจีน
EN21102,English
ท23102,ภาษาไทยพื้นฐาน
ท32102,ภาษาไทยพื้นฐาน
ท31102,ภาษาไทย
ท33202,ภาษากับวัฒนธรรม
พ33201,แบดมินตัน
ท33102,ภาษาไทย
พ23014,บาสเกตบอล
พ32102,สุขศึกษา
พ23103,สุขศึกษา
พ33102,สุขศึกษา
พ21102,ยืดหยุ่น
พ22103,สุขศึกษา
พ21104,เทเบิลเทนนิส
ว. เสริม,วิทยาศาสตร์เสริม
พ31102,สุขศึกษา
พ22104,กรีฑา
ส31102,สังคมศึกษา
ค32102,คณิตศาสตร์พื้นฐาน
ค30292,คณิตศาสตร์ พสวท
ค21202,คณิตศาสาตร์เพิ่มเติม
MA21102,Basic Mathematics
ส22103,สังคมศึกษา
ส32104,ประวัติศาสตร์
ส32103,สังคมศึกษา
ค31102,คณิตศาสตร์พื้นฐาน
ค31202,คณิตศาสตร์เพิ่มเติม
ค21102,คณิตศาสตร์พื้นฐาน
ส21104,ประวัติศาสตร์
ส22104,ประวัติศาสตร์
ค32202,คณิตศาสตร์เพิ่มเติม
ส32202,การปกครองท้องถิ่น
ท22102,ภาษาไทยพื้นฐาน
ท21102,ภาษาไทยพื้นฐาน
ท32203,ประวัติวรรณคดี2
ท21202,เสริมทักษะภาษาไทย
ท31206,การอ่านพิจารณา
อ31102,อังกฤษพื้นฐาน
อ21206,ภาษาอังกฤษเพิ่มเติม
อ32204,ภาษาอังกฤษอ่าน-เขียน
อ31208,ภาษาอังกฤษฟังพูด
อ22204,อังกฤษการสื่อสาร
อ31206,อังกฤษเทคโนโลยี
อ21102,อังกฤษพื้นฐาน
อ22202,อังกฤษอ่าน-เขียน
อ31205,อังกฤษรอบรู้
อ21204,อังกฤษฟังพูด
อ32206,ภาษาอังกฤษเทคโนโลยี
จ21206,ภาษาจีน
จ31202,ภาษาจีน
จ31204,ภาษาจีนอ่าน-เขียน
อ21202,อังกฤษอ่านเขียน
ฝ31202,ภาษาฝรั่งเศส
อ31204,อังกฤษอ่าน-เขียน
ง20217,ธุรกิจชีวิตประจำวัน
ง30217,ธุรกิจเบื้องต้น
ส21203,อาเซียนศึกษา
ค. เสริม,คณิตศาสตร์เสริม
ท22202,การเขียนเชิงวิชาการ
จ22204,ภาษาจีน
จ21204,ภาษาจีน
ง20220,การปลูกพืชผักสวนครัว
จ32206,ภาษาจีน
จ32205,ภาษาจีน
OT20215,microbox
SC21103,intro computer
EN32206,Eng technology
eng club,ชุมนุม
EN22102,English
MA22102,basic math
EN22204,speak-writing
SC22102,science
EN23204,eng education
EN31206,ENG tecno
อ22206,festival eng
EN31208,intensive eng
EN33206,eng techno
ค31104,คณิต ศิลปคำนวน
ค32104,คณิตเพิ่มเติม
ค31106,คณิตพื้นฐาน
ศ30201,ศิลปะเพิ่มเติม
ว30250,ชีววิทยา
ว30142,ชีววทยา
ว21103,วิทยาการคำนวณ
ค21206,คณิต
ง30205,งานประดิษฐ์อย่างไทย
พ30201,กีฬาไทย(เพิ่มเติม)
พ23104,บาสเกตบอล
อ33205,ภาษาอังกฤษรอบรู้
พ32203,วอลเลย์บอล
ท30202,ศิลปะการเขียน
ท20202,สร้างสรรค์งานเขียน
ว30228,เคมี
จ32204,ภาษาจีน
จ32203,ภาษาจีน
จ33203,ภาษาจีน
MA22203,Intensive math
MA23101,basic math
SC23213,Fuel for tranport
SC22212,Science
ชุมนุม ว.,ชุมนุมวิทย์
ว30181,วิทยาการคำนาณ
Eng Club,Club
ว22103,วิทยาการคำนวณ
HE23103,้Healty
ว30182,วิทยาการคำนวณ
ว30262,โลกดาราศาสตร์
อ22205,Food and wel
อ23207,ENG throunh mult
EN22101,BASIC ENG
อ23205,my journey
ท20203,อ่านตาม piza
อ22207,ENG อ่าน-เชียน
EN23101,English
ค31103,คณิตศาสตร์พื้นฐาน
SC22103,Com Sci
OT23102,Com project
ท30201,คีตวรรณกรรม
ท20201,ไทยเพื่อการสื่อสาร
ท30203,ประวัติวรรณคดี
ง30206,งานประดิษฐ์
จ31206,ภาษาจีน
ง30101,การงานอาชีพ
ว30207,โลกดาราศาสตร์
ว30263,โลกดาราศาสตร์
SC22213,Science
SC23214,Science
SC21214,science
พ30202,พละ (เสริม)
ว20205,Ipst-Microbox
ว20203,การโปรแกรมเบื้องต้น
ว20204,การออบแบบเทคโนโลยี
SC20204,Design tech
ว30284,การออกแบบและเทคโนโลย
SC20206,Design tech
OT20216,Design tech
ว30283,การตัดต่อภาพยนต์
ว20206,การออกแบบและเทคโนโลย
จ33204,ภาษาจีน
R33104,แบดมินตัน
พ33104,แบดมินตัน
MA23102,basic math
MA22204,Intensive math
MA21202,Intensive Mathematic
อ23206,eng for fight
อ23208,Eng
EN23102,ENG
อ22108,ENG
อ22208,ENG
ท30204,คติชนวิทยา
จ31207,ภาษาจีน
ค21203,คณิตศาสาตร์เพิ่มเติม
MA21203,Mathematic
ศ30203,ดนตรีสากลเพิ่มเติม
ท30205,ภาษาวิเคราะห์เชื่อมฯ
ชุมนุม จ.,ชุมนุมจีน
ส21201,ท้องถิ่นของเรา
MA23201,Intensive math
SC21215,Scientific Toys
SC23216,Fuel for tranport
SC23103,com sci
ว23103,วิทยาการคำนวณ
ว21104,วิทยาการคำนวณ MEP
ว22104,วิทยาการคำนวณ MEP
ว23104,วิทยาการคำนวณ MEP
ค21205,คณิตศาสาตร์เพิ่ม MEP
ค22205,คณิตศาสาตร์เพิ่ม MEP
ค23203,คณิตศาสาตร์เพิ่ม MEP
ว21215,ของเล่นเชิงวิทย์ MEP
ว23215,เชื้อเพลิงฯ MEP
ว30264,โลกดาราศาสตร์
ง20203,การปลูกไม้ดอกประดับ
ง30220,งานผลิตภัณฑ์ฯ
ง20221,การจัดดอกไม้
ว23216,พลังงานทดแทนMEP
ว20207,การออกแบบและเทคโนโลย
ท30206,ภาษาไทยเพื่อกิจธุระ
ว22211,โครงงานวิทย์ 2
MA22206,Intensive math
ศ30212,ทักษะปฏิบัติฯ
ศ30204,ดนตรีสากลเพิ่มเติม
ว30261,โลกดาราศาสตร์
ค33203,คณิตศาสตร์เพิ่มเติม
ชุมนุม อ.,ชุมนุมอังกฤษ
ว30286,การใช้โปรแกรมประยุกต
ค22206,คณิตศาสาตร์เพิ่ม MEP
ค23204,คณิตศาสาตร์เพิ่ม MEP
ว21216,Theory of Knowledge
Sci Club,CLUB
ว20208,การออกแบบ Mep
ว20209,การออกแบบ Mep
ว20210,การออกแบบ Mep
ชุมนุม ค.,ชุมนุมคณิต
ชุมนุม ท.,ชุมนุมไทย
อ. เสริม,ภาษาอังกฤษเสริม
ชุมนุม ส.,ชุมนุมสังคม
ชุมนุม ว,วิชาการ
จ30202,จีน
จ30203,การสนทนาภาษาจีนธุรกจ
ว30271,การสร้างตัวละคร 3D
EN21207,สัทศาสตร์ 1
ว31202,การสร้างเว็ปไซต์
อ31209,ภาษาอังกฤษฟังพูด
อ30204,อังกฤษนิทาน
EN23207,อังกฤษผ่านสื่อมัลติ
อ20205,อังกฤษการสื่อสาร
อ30203,ภาษาอังกฤษธุรกิจ
อ30212,อังกฤษสร้างสรรค์
EN21205,จินตภาษา
HE22101,สุขศึกษา
EN23205,การเดินทาง
อ20201,การออกแสียง
อ322209,อังกฤษฟังพูด
อ32209,อังกฤษฟังพูด
ว21217,ของเล่นวิทย์ mep
ว23217,พลังงานทดแทนMEP
อ20203,เพื่อสันทนาการ
ง30222,ธุรกิจบริการ
อ30201,อังกฤษ เข้มข้น
ว22210,โครงงานวิทย์
ว22214,โครงงาน MEP
ว31201,IOT
อ30206,eng for fight
อ30205,eng เข้ม
ช.วิชาการ,ชุมนุม
อ30207,โครงสร้างภาษา
